iter	Passed	Remaining
965	17160	17515
966	17179	17499
967	17194	17478
968	17211	17460
969	17229	17442
970	17245	17423
971	17258	17400
972	17273	17379
973	17291	17362
974	17308	17343
975	17325	17325
976	17342	17307
977	17360	17289
978	17377	17271
979	17396	17254
980	17414	17237
981	17432	17219
982	17452	17203
983	17468	17184
984	17483	17164
985	17500	17145
986	17516	17126
987	17534	17108
988	17549	17088
989	17565	17068
990	17579	17047
991	17592	17024
992	17609	17006
993	17626	16988
994	17643	16969
995	17661	16951
996	17677	16932
997	17696	16916
998	17712	16896
999	17728	16877
1000	17744	16858
1001	17760	16838
1002	17777	16820
1003	17796	16804
1004	17815	16787
1005	17831	16768
1006	17851	16752
1007	17875	16740
1008	17897	16727
1009	17921	16715
1010	17944	16702
1011	17969	16690
1012	17987	16673
1013	18011	16661
1014	18033	16647
1015	18056	16634
1016	18078	16621
1017	18102	16608
1018	18125	16595
1019	18147	16581
1020	18170	16568
1021	18193	16555
1022	18217	16543
1023	18241	16531
1024	18265	16519
1025	18287	16505
1026	18312	16493
1027	18333	16478
1028	18356	16465
1029	18379	16452
1030	18403	16439
1031	18425	16425
1032	18449	16413
1033	18472	16399
1034	18495	16386
1035	18518	16373
1036	18544	16362
1037	18568	16350
1038	18590	16336
1039	18614	16323
1040	18638	16310
1041	18661	16297
1042	18684	16284
1043	18708	16271
1044	18732	16259
1045	18755	16245
1046	18773	16227
1047	18795	16212
1048	18818	16199
1049	18841	16185
1050	18865	16172
1051	18887	16158
1052	18911	16145
1053	18931	16129
1054	18953	16115
1055	18976	16101
1056	19001	16089
1057	19026	16077
1058	19050	16064
1059	19074	16051
1060	19097	16037
1061	19118	16022
1062	19142	16008
1063	19164	15994
1064	19190	15982
1065	19213	15969
1066	19238	15956
1067	19262	15943
1068	19285	15930
1069	19310	15917
1070	19334	15904
1071	19355	15888
1072	19379	15875
1073	19403	15862
1074	19427	15849
1075	19448	15833
1076	19473	15820
1077	19497	15807
1078	19519	15793
1079	19544	15780
1080	19568	15767
1081	19591	15752
1082	19614	15738
1083	19638	15725
1084	19662	15711
1085	19686	15698
1086	19710	15684
1087	19736	15673
1088	19759	15658
1089	19782	15644
1090	19804	15629
1091	19828	15615
1092	19852	15602
1093	19877	15589
1094	19902	15576
1095	19928	15564
1096	19951	15550
1097	19974	15535
1098	19998	15522
1099	20023	15509
1100	20048	15495
1101	20071	15481
1102	20097	15469
1103	20120	15454
1104	20144	15440
1105	20167	15426
1106	20190	15411
1107	20208	15393
1108	20233	15380
1109	20256	15365
1110	20274	15347
1111	20297	15332
1112	20323	15320
1113	20349	15307
1114	20374	15294
1115	20399	15281
1116	20423	15267
1117	20448	15253
1118	20469	15238
1119	20492	15222
1120	20517	15209
1121	20541	15195
1122	20565	15181
1123	20588	15166
1124	20611	15151
1125	20636	15138
1126	20658	15122
1127	20682	15108
1128	20705	15093
1129	20729	15079
1130	20755	15066
1131	20779	15052
1132	20805	15039
1133	20829	15025
1134	20854	15011
1135	20878	14997
1136	20904	14984
1137	20929	14970
1138	20953	14956
1139	20979	14943
1140	21004	14929
1141	21027	14914
1142	21050	14899
1143	21072	14883
1144	21096	14869
1145	21119	14853
1146	21144	14839
1147	21168	14825
1148	21193	14811
1149	21217	14796
1150	21240	14781
1151	21263	14766
1152	21288	14752
1153	21315	14739
1154	21334	14721
1155	21358	14706
1156	21382	14692
1157	21405	14676
1158	21427	14660
1159	21452	14646
1160	21476	14631
1161	21499	14616
1162	21523	14601
1163	21543	14584
1164	21562	14565
1165	21583	14549
1166	21605	14533
1167	21630	14519
1168	21653	14503
1169	21681	14491
1170	21705	14476
1171	21731	14462
1172	21756	14448
1173	21780	14433
1174	21809	14421
1175	21833	14407
1176	21859	14393
1177	21882	14377
1178	21900	14358
1179	21916	14338
1180	21941	14323
1181	21964	14308
1182	21986	14292
1183	22010	14277
1184	22034	14262
1185	22059	14247
1186	22085	14233
1187	22109	14218
1188	22133	14203
1189	22156	14187
1190	22180	14172
1191	22206	14158
1192	22231	14143
1193	22254	14127
1194	22278	14113
1195	22302	14097
1196	22326	14082
1197	22348	14065
1198	22373	14050
1199	22396	14034
1200	22420	14020
1201	22447	14006
1202	22469	13989
1203	22491	13973
1204	22513	13956
1205	22535	13939
1206	22558	13923
1207	22581	13907
1208	22605	13892
1209	22626	13875
1210	22650	13859
1211	22675	13844
1212	22700	13829
1213	22725	13815
1214	22748	13799
1215	22771	13782
1216	22793	13766
1217	22818	13750
1218	22841	13734
1219	22866	13719
1220	22889	13703
1221	22912	13687
1222	22935	13671
1223	22959	13655
1224	22984	13640
1225	23007	13624
1226	23030	13607
1227	23055	13592
1228	23077	13576
1229	23103	13561
1230	23127	13545
1231	23150	13529
1232	23175	13514
1233	23197	13497
1234	23221	13481
1235	23245	13465
1236	23269	13450
1237	23293	13433
1238	23317	13418
1239	23342	13402
1240	23368	13388
1241	23395	13373
1242	23418	13357
1243	23443	13342
1244	23465	13325
1245	23489	13309
1246	23514	13294
1247	23536	13277
1248	23562	13262
1249	23586	13246
1250	23610	13229
1251	23633	13213
1252	23657	13197
1253	23681	13181
1254	23703	13164
1255	23727	13148
1256	23749	13131
1257	23773	13114
1258	23797	13099
1259	23820	13082
1260	23843	13065
1261	23867	13049
1262	23892	13034
1263	23918	13018
1264	23943	13003
1265	23966	12986
1266	23990	12970
1267	24015	12954
1268	24038	12937
1269	24062	12921
1270	24088	12906
1271	24111	12889
1272	24134	12872
1273	24158	12856
1274	24182	12840
1275	24206	12824
1276	24229	12807
1277	24254	12791
1278	24278	12774
1279	24301	12758
1280	24325	12741
1281	24349	12725
1282	24374	12709
1283	24395	12691
1284	24419	12675
1285	24444	12659
1286	24467	12642
1287	24491	12626
1288	24513	12608
1289	24536	12591
1290	24560	12575
1291	24584	12558
1292	24607	12541
1293	24630	12524
1294	24655	12508
1295	24677	12491
1296	24700	12474
1297	24723	12456
1298	24749	12441
1299	24772	12424
1300	24797	12408
1301	24824	12393
1302	24848	12376
1303	24877	12362
1304	24897	12343
1305	24921	12327
1306	24944	12309
1307	24966	12292
1308	24991	12276
1309	25015	12259
1310	25040	12243
1311	25063	12226
1312	25089	12210
1313	25112	12193
1314	25136	12176
1315	25161	12160
1316	25183	12142
1317	25208	12125
1318	25234	12110
1319	25260	12094
1320	25283	12076
1321	25305	12059
1322	25331	12043
1323	25355	12026
1324	25378	12009
1325	25404	11993
1326	25428	11976
1327	25454	11960
1328	25479	11943
1329	25498	11924
1330	25521	11907
1331	25546	11891
1332	25570	11874
1333	25593	11856
1334	25616	11839
1335	25640	11822
1336	25664	11805
1337	25687	11787
1338	25712	11771
1339	25735	11753
1340	25760	11737
1341	25782	11719
1342	25808	11703
1343	25830	11685
1344	25853	11667
1345	25877	11650
1346	25897	11631
1347	25923	11615
1348	25946	11598
1349	25971	11581
1350	25993	11563
1351	26014	11544
1352	26036	11526
1353	26060	11509
1354	26082	11491
1355	26105	11473
1356	26127	11456
1357	26150	11438
1358	26174	11421
1359	26199	11404
1360	26222	11386
1361	26245	11369
1362	26268	11351
1363	26293	11334
1364	26315	11316
1365	26340	11299
1366	26364	11282
1367	26387	11264
1368	26411	11247
1369	26437	11231
1370	26461	11213
1371	26486	11196
1372	26510	11179
1373	26534	11162
1374	26558	11144
1375	26574	11124
1376	26600	11107
1377	26623	11089
1378	26646	11072
1379	26671	11055
1380	26695	11037
1381	26720	11020
1382	26745	11003
1383	26771	10987
1384	26795	10969
1385	26821	10952
1386	26844	10935
1387	26871	10918
1388	26896	10901
1389	26920	10884
1390	26947	10867
1391	26971	10850
1392	26996	10833
1393	27020	10816
1394	27044	10798
1395	27070	10781
1396	27096	10765
1397	27121	10747
1398	27147	10731
1399	27170	10713
1400	27194	10695
1401	27245	10688
1402	27270	10671
1403	27294	10653
1404	27317	10635
1405	27341	10617
1406	27364	10599
1407	27388	10581
1408	27412	10564
1409	27437	10546
1410	27460	10528
1411	27484	10511
1412	27508	10493
1413	27530	10474
1414	27554	10457
1415	27576	10438
1416	27599	10420
1417	27623	10402
1418	27646	10384
1419	27671	10366
1420	27693	10348
1421	27717	10330
1422	27741	10312
1423	27767	10295
1424	27790	10277
1425	27814	10259
1426	27837	10241
1427	27861	10223
1428	27884	10205
1429	27908	10187
1430	27930	10169
1431	27953	10150
1432	27979	10133
1433	28001	10115
1434	28026	10097
1435	28047	10078
1436	28072	10060
1437	28095	10042
1438	28120	10025
1439	28146	10007
1440	28169	9989
1441	28193	9971
1442	28215	9952
1443	28239	9934
1444	28262	9916
1445	28286	9898
1446	28310	9880
1447	28333	9862
1448	28358	9844
1449	28382	9826
1450	28403	9807
1451	28428	9789
1452	28453	9771
1453	28473	9752
1454	28495	9733
1455	28519	9715
1456	28544	9697
1457	28567	9679
1458	28588	9660
1459	28612	9641
1460	28635	9623
1461	28659	9605
1462	28684	9587
1463	28705	9568
1464	28729	9550
1465	28754	9532
1466	28777	9514
1467	28801	9495
1468	28819	9475
1469	28843	9457
1470	28870	9440
1471	28892	9421
1472	28916	9403
1473	28939	9384
1474	28961	9366
1475	28986	9347
1476	29010	9329
1477	29034	9311
1478	29058	9293
1479	29082	9275
1480	29107	9256
1481	29131	9238
1482	29153	9219
1483	29177	9201
1484	29202	9183
1485	29220	9163
1486	29246	9145
1487	29270	9127
1488	29294	9109
1489	29317	9090
1490	29340	9071
1491	29365	9053
1492	29389	9035
1493	29414	9017
1494	29440	8999
1495	29464	8981
1496	29489	8963
1497	29513	8944
1498	29536	8926
1499	29565	8909
1500	29591	8891
1501	29616	8873
1502	29641	8854
1503	29666	8836
1504	29691	8818
1505	29713	8799
1506	29738	8781
1507	29760	8762
1508	29784	8743
1509	29810	8725
1510	29833	8707
1511	29852	8687
1512	29874	8668
1513	29901	8650
1514	29925	8632
1515	29950	8613
1516	29973	8594
1517	29995	8575
1518	30020	8557
1519	30045	8539
1520	30067	8520
1521	30092	8501
1522	30118	8483
1523	30146	8466
1524	30172	8448
1525	30194	8429
1526	30217	8410
1527	30239	8391
1528	30261	8372
1529	30284	8352
1530	30310	8334
1531	30335	8316
1532	30359	8297
1533	30383	8279
1534	30405	8259
1535	30427	8240
1536	30450	8221
1537	30474	8203
1538	30496	8184
1539	30518	8164
1540	30549	8147
1541	30572	8128
1542	30593	8109
1543	30618	8090
1544	30641	8071
1545	30665	8053
1546	30689	8034
1547	30710	8014
1548	30735	7996
1549	30759	7977
1550	30782	7958
1551	30804	7939
1552	30825	7919
1553	30847	7900
1554	30871	7881
1555	30896	7863
1556	30919	7844
1557	30943	7825
1558	30964	7805
1559	30994	7788
1560	31019	7769
1561	31043	7750
1562	31068	7732
1563	31093	7713
1564	31115	7694
1565	31139	7675
1566	31163	7656
1567	31186	7637
1568	31209	7618
1569	31234	7599
1570	31261	7581
1571	31285	7562
1572	31308	7543
1573	31333	7524
1574	31358	7506
1575	31383	7487
1576	31411	7469
1577	31434	7450
1578	31456	7430
1579	31483	7412
1580	31508	7393
1581	31532	7374
1582	31556	7355
1583	31579	7336
1584	31606	7318
1585	31631	7299
1586	31654	7280
1587	31677	7261
1588	31709	7243
1589	31737	7225
1590	31768	7208
1591	31796	7190
1592	31823	7171
1593	31849	7153
1594	31874	7134
1595	31899	7115
1596	31928	7097
1597	31954	7078
1598	31982	7060
1599	32009	7042
1600	32037	7023
1601	32066	7005
1602	32093	6987
1603	32121	6969
1604	32148	6950
1605	32173	6931
1606	32199	6912
1607	32222	6893
1608	32245	6874
1609	32268	6854
1610	32290	6834
1611	32313	6815
1612	32338	6796
1613	32363	6777
1614	32387	6758
1615	32410	6738
1616	32432	6719
1617	32454	6699
1618	32479	6680
1619	32502	6661
1620	32525	6641
1621	32549	6622
1622	32575	6603
1623	32603	6584
1624	32626	6565
1625	32647	6545
1626	32672	6526
1627	32695	6506
1628	32717	6487
1629	32740	6467
1630	32763	6448
1631	32784	6428
1632	32807	6408
1633	32830	6389
1634	32855	6370
1635	32878	6350
1636	32901	6331
1637	32924	6311
1638	32947	6291
1639	32970	6272
1640	32995	6253
1641	33020	6234
1642	33044	6214
1643	33069	6195
1644	33092	6175
1645	33115	6156
1646	33138	6136
1647	33160	6117
1648	33185	6097
1649	33209	6078
1650	33231	6058
1651	33254	6038
